name,ra,dec,time,fluence
4B 930125,139.38,-57.8,49012.86506,9.28E-08
4B 920121-,262.84,-57.73,48642.18959,8.70E-07
4B 921228-,67.67,-57.71,48984.59709,NaN
4B 920406,289.91,-57.69,48718.11405,0.000034611
GRB 971118-,319.19,-57.65,50770.92234,5.00E-08
4B 951011,40.86,-57.58,50001.89907,1.71E-05
4B 940429-,35.1,-57.52,49471.03048,1.24E-05
GRB 990423,111.11,-57.49,51291.09799,1.98E-07
GRB 970731,258.52,-57.46,50660.83894,1.08E-06
4B 941031-,39.66,-57.29,49656.19617,5.82E-07
4B 941009,352.23,-57.25,49634.14999,0.000000249
GRB 990829-,259.18,-57.22,51419.90044,1.37E-07
4B 951102-,337.48,-57.22,50023.02211,3.29E-07
4B 910712,303.63,-57.09,48449.34428,2.88E-07
GRB 000217-,272.72,-56.97,51591.87505,NaN
4B 930807-,275.1,-56.84,49206.91863,6.40E-07
GRB 990728,209.62,-56.84,51387.46094,2.84E-05
4B 960415-,159.1,-56.81,50188.20259,1.43E-07
GRB 980306-,341.63,-56.74,50878.73208,7.42E-06
GRB 991120,51.19,-56.61,51502.24086,NaN
4B 960730-,277.94,-56.54,50294.81607,0.000003261
4B 960601-,208.81,-56.48,50235.19849,4.65E-06
4B 940731,121.34,-56.41,49564.02859,4.81E-07
4B 940111,153.17,-56.33,49363.37057,4.09E-07
4B 920622-,159.53,-56.32,48795.67177,2.78E-07
GRB 971005,331.17,-56.25,50726.05272,5.35E-07
4B 930705-,78.27,-56.17,49173.99446,8.19E-07
4B 940312-,221.5,-56.17,49423.47804,3.48E-06
GRB 990615,173.92,-56.08,51344.65827,0.000003849
4B 920718-,296.39,-55.98,48821.89772,2.66E-06
4B 930627,152,-55.94,49165.06232,7.64E-07
4B 950628,180,-55.88,49896.02483,0.000000751
4B 921228-,263.19,-55.67,48984.03288,NaN
4B 920613-,312.91,-55.64,48786.60536,4.67E-07
GRB 980109-,168.49,-55.51,50822.32375,NaN
4B 950118-,38.2,-55.51,49735.71881,0.000003289
4B 920408-,154.48,-55.46,48720.45631,NaN
4B 930428,129.85,-55.45,49105.04667,4.47E-07
GRB 970904,95.39,-55.36,50695.45632,5.69E-08
4B 930719-,287.65,-55.32,49187.37239,1.92E-07
4B 921218,355.62,-55.31,48974.1042,6.15E-07
4B 921022-,200.15,-55.3,48917.20541,NaN
4B 950211-,64.35,-55.02,49759.83876,0.000007934
GRB 991108,3.64,-54.89,51490.282,0.000003609
GRB 980513,127.62,-54.84,50946.90377,2.82E-07
4B 960703-,330.4,-54.79,50267.75741,1.69E-06
4B 941214,220,-54.77,49700.58936,3.46E-07
4B 920329,18.21,-54.77,48710.69336,NaN
GRB 980219,250.99,-54.72,50863.57828,NaN
4B 930925,96.98,-54.66,49255.57014,NaN
4B 960322-,96.98,-54.61,50164.22733,0.000019572
GRB 970302-,7.93,-54.54,50509.53909,NaN
GRB 990722-,149.69,-54.44,51381.88941,NaN
GRB 991107,155.8,-54.41,51489.33578,1.63E-06
GRB 970708-,153.61,-54.33,50637.57381,5.34E-08
GRB 961027-,68.74,-54.29,50383.50142,5.56E-07
GRB 980829,240,-54.2,51054.2228,5.00E-07
4B 940527-,268.78,-54,49499.67933,0.000001246
4B 941203,3.05,-53.85,49689.71975,7.52E-08
4B 920105,335.4,-53.8,48626.737,0.000000459
4B 960530,143.41,-53.79,50233.72105,2.93E-06
GRB 980904-,125.99,-53.71,51060.36285,3.53E-07
GRB 980325-,208.79,-53.64,50897.14918,1.38E-06
GRB 970108,1.23,-53.61,50456.71808,NaN
GRB 961228-,160.28,-53.6,50445.02051,0.0000048
