name,time,ra,dec,redshift,fluence
GRB 790818,44103.48056,,,,0.0000003
GRB 790826,44111.77083,,,,0.00001
GRB 790829,44114.33611,,,,0.0000032
GRB 790910,44126.14097,,,,0.0000039
GRB 790913,44129.14861,,,,0.00001
GRB 790924,44140.44097,,,,0.000005
GRB 790925,44141.39792,,,,0.0000056
GRB 790930,44146.69861,,,,0.000017
GRB 791003A,44149.48542,,,,0.000008
GRB 791006,44152.34028,,,,0.0000073
GRB 791007,44153.67639,,,,0.000003
GRB 791013,44159.00428,,,,
GRB 791014A,44160.4699,,,,0.000048
GRB 791014A,44160.46528,,,,0.000048
GRB 791014B,44160.5376,,,,
GRB 791016,44162.70833,,,,0.0000008
GRB 791018,44164.33295,,,,
GRB 791018,44164.33514,,,,
GRB 791021,44167.48958,,,,0.0000004
GRB 791023,44169.45833,,,,0.0000009
GRB 791028,44174.13413,,,,
GRB 791030A,44176.47917,,,,0.000008
GRB 791030B,44176.70764,,,,0.0000033
GRB 791031A,44177.3839,,,,0.000053
GRB 791031A,44177.38681,,,,0.000053
GRB 791031B,44177.59653,,,,0.0000015
GRB 791101A,44178.73333,,,,0.00024
GRB 791101B,44178.74871,,,,0.00015
GRB 791101B,44178.74766,,,,0.00015
GRB 791101B,44178.74513,,,,0.00015
GRB 791105A,44182.17083,,,,0.0000035
GRB 791105C,44182.5675,,,,0.000016
GRB 791105D,44182.57153,,,,0.0000013
GRB 791106A,44183.10288,,,,
GRB 791106B,44183.35859,,,,
GRB 791109A,44186.25111,,,,
GRB 791109B,44186.33331,,,,0.00001
GRB 791109B,44186.33056,,,,0.00001
GRB 791111,44188.46557,,,,0.000035
GRB 791111,44188.47014,,,,0.000035
GRB 791113,44190.00139,,,,0.000009
GRB 791115,44192.94762,,,,0.000164
GRB 791115,44192.95099,,,,0.000164
GRB 791115,44192.94979,,,,0.000164
GRB 791116,44193.60163,,,,0.000158
GRB 791116,44193.59638,,,,0.000158
GRB 791119,44196.60795,,,,0.000009
GRB 791119,44196.60418,,,,0.000009
GRB 791124,44201.26038,,,,0.000101
GRB 791206,44213.89821,,,,0.000012
GRB 791209,44216.65759,,,,0.000086
GRB 791215B,44222.25486,,,,0.00001
GRB 791218,44225.69722,,,,0.00000047
GRB 791220,44227.72865,,,,0.0001
GRB 791220,44227.72917,,,,0.0001
GRB 791222B,44229.52847,,,,0.0000011
GRB 791226,44233.71041,,,,0.0000007
GRB 791226,44233.71088,,,,0.0000007
GRB 791226,44233.71042,,,,0.0000007
GRB 791229,44236.65069,,,,0.0000032
GRB 791230,44237.38264,,,,0.00035
GRB 800102,44240.62708,,,,0.00000047
GRB 800103,44241.76409,,,,
GRB 800103,44241.76395,,,,
GRB 800105,44243.45122,,,,0.000037
GRB 800105,44243.45077,,,,0.000037
GRB 800105,44243.44236,,,,0.000037
GRB 800105,44243.45,,,,0.000037
GRB 800112,44250.04028,,,,0.0000024
GRB 800115,44253.66191,,,,
GRB 800116,44254.65972,,,,0.000021
GRB 800126,44264.92569,,,,0.0000006
GRB 800213,44282.3131,,,,0.00055
GRB 800228,44297.43975,,,,0.000017
GRB 800307,44305.21377,,,,0.0000231
GRB 800322,44320.30483,,,,0.000032
GRB 800324,44322.99846,,,,0.0000198
GRB 800331,44329.03313,,,,0.00011
GRB 800408,44337.59719,,,,0.000007
GRB 800410,44339.87076,,,,0.000033
GRB 800412A,44341.8356,,,,0.00003
GRB 800412B,44341.83969,,,,0.0001
GRB 800417,44346.50483,,,,0.000065
GRB 800419,44348.0537,,,,0.000073
GRB 800419,44348.05539,,,,0.000073
GRB 800421,44350.13057,,,,0.0000061
GRB 800512,44371.98272,,,,0.00012
GRB 800512,44371.98035,,,,0.00012
GRB 800514,44373.08181,,,,0.00002
GRB 800519,44378.39161,,,,0.0000124
GRB 800524,44383.66174,,,,0.00003
GRB 800524,44383.66233,,,,0.00003
GRB 800525,44384.77412,,,,0.00015
GRB 800602,44392.55713,,,,0.0002
GRB 800602,44392.55571,,,,0.0002
GRB 800706,44426.36425,,,,0.0000176
GRB 800709A,44429.31001,,,,0.00004
GRB 800709A,44429.30844,,,,0.00004
GRB 800709B,44429.91818,,,,0.00008
GRB 800727,44447.66464,,,,0.000012
GRB 800806,44457.92083,,,,0.000015
GRB 800812,44463.78868,,,,0.0000053
GRB 800815,44466.76502,,,,0.0000262
GRB 800919,44501.80632,,,,0.0000121
GRB 800920,44502.59015,,,,0.0000056
GRB 801016,44528.25313,,,,0.000006
GRB 801017,44529.14663,,,,0.00008
GRB 801026,44538.93403,,,,0.000006
GRB 801119A,44562.70826,,,,0.000032
GRB 801119B,44562.71263,,,,0.0000172
GRB 801205,44578.40919,,,,0.000015
GRB 801210,44583.49388,,,,0.00013
GRB 801220A,44593.7642,,,,0.0003
GRB 801220B,44593.77141,,,,0.000149
GRB 810101,44605.23348,,,,0.000028
GRB 810107,44611.36706,,,,0.0000054
GRB 810113,44617.20642,,,,0.000018
GRB 810127,44631.02816,,,,0.0000043
GRB 810129A,44633.17752,,,,0.0000139
GRB 810129B,44633.18559,,,,0.00018
GRB 810214,44649.63204,,,,0.00006
GRB 810225,44660.19924,,,,0.000002
GRB 810228,44663.67675,,,,0.000145
GRB 810228,44663.67834,,,,0.000145
GRB 810301,44664.52461,,,,0.0000152
GRB 810304,44667.36855,,,,0.0000038
GRB 810408,44702.034,,,,0.0000048
GRB 810424A,44718.41591,,,,0.0000149
GRB 810424B,44718.42,,,,0.00009
GRB 810511,44735.99109,,,,0.000055
GRB 810605A,44760.21752,,,,0.0000058
GRB 810605B,44760.22164,,,,0.00016
GRB 810611,44766.40204,,,,0.000045
GRB 810709,44794.9125,,,,0.000003
GRB 810721,44806.21447,,,,0.00013
GRB 810721,44806.79705,,,,0.00013
GRB 810721,44806.79703,,,,0.00013
GRB 810801A,44817.72139,,,,0.0000099
GRB 810801B,44817.72734,,,,0.00014
GRB 810805,44821.27052,,,,0.000016
GRB 810805,44821.2731,,,,0.000016
GRB 810814,44830.42323,,,,0.0000401
GRB 810829,44845.02588,,,,0.000045
GRB 810902,44849.7881,,,,0.00012
GRB 810905,44852.24909,,,,0.000015
GRB 810906,44853.49536,,,,0.000095
GRB 810906,44853.49779,,,,0.000095
GRB 810909,44856.18252,,,,0.0000046
GRB 810926,44873.77553,,,,0.00008
GRB 810930,44877.73645,,,,0.000068
GRB 811006,44883.2176,,,,0.0000055
GRB 811016,44893.99448,,,,0.00115
GRB 811016,44893.9952,,,,0.00115
GRB 811023,44900.48486,,,,0.000007
GRB 811102,44910.15021,,,,0.0000062
GRB 811201,44939.38724,,,,
GRB 811209,44947.13326,,,,0.000002
GRB 811215,44953.83269,,,,0.00005
GRB 811222,44960.33994,,,,0.0000071
GRB 811225,44963.15654,,,,0.000035
GRB 811231A,44969.067,,,,0.0000842
GRB 811231A,44969.0672,,,,0.0000842
GRB 811231A,44969.06718,,,,0.0000842
GRB 811231B,44969.33313,,,,0.000025
GRB 811231B,44969.33225,,,,0.000025
GRB 820102,44971.71563,,,,
GRB 820104,44973.66895,,,,0.000018
GRB 820118A,44987.1769,,,,0.00002
GRB 820118B,44987.51352,,,,0.0000096
GRB 820121,44990.37527,,,,0.0000074
GRB 820125,44994.74753,,,,0.0000186
GRB 820201,45001.34692,,,,0.0000075
GRB 820214,45014.05816,,,,0.0000087
GRB 820215,45015.44169,,,,
GRB 820223,45023.45374,,,,
GRB 820226,45026.49634,,,,
GRB 820227,45027.01135,,,,
GRB 820301,45029.10867,,,,0.00023
GRB 820301,45029.10826,,,,0.00023
GRB 820302,45030.12925,,,,0.000025
GRB 820302,45030.12986,,,,0.000025
GRB 820303,45031.68171,,,,0.0000207
GRB 820305,45033.38893,,,,
GRB 820308,45036.07557,,,,
GRB 820313,45041.1117,,,,0.00004
GRB 820313,45041.11138,,,,0.00004
GRB 820313,45041.11138,,,,0.00004
GRB 820313,45041.1114,,,,0.00004
GRB 820320,45048.55098,,,,0.0000898
GRB 820320,45048.54816,,,,0.0000898
GRB 820320,45048.54841,,,,0.0000898
GRB 820324,45052.51475,,,,0.0000134
GRB 820324,45052.51486,,,,0.0000134
GRB 820328A,45056.58561,,,,
GRB 820328B,45056.60942,,,,0.0000081
GRB 820328B,45056.60946,,,,0.0000081
GRB 820329,45057.41012,,,,0.0000024
GRB 820329,45057.41015,,,,0.0000024
GRB 820331,45059.63941,,,,0.0000319
GRB 820405,45064.26522,,,,0.000002
GRB 820405,45064.26642,,,,0.000002
GRB 820406A,45065.39435,,,,0.0001
GRB 820406A,45065.39777,,,,0.0001
GRB 820406B,45065.62041,,,,
GRB 820415,45074.77727,,,,
GRB 820416A,45075.65121,,,,
GRB 820416B,45075.66399,,,,0.0000131
GRB 820423A,45082.15572,,,,
GRB 820423B,45082.68772,,,,
GRB 820425,45084.83645,,,,
GRB 820502A,45091.5534,,,,0.000005
GRB 820502B,45091.88499,,,,0.0000067
GRB 820502B,45091.88542,,,,0.0000067
GRB 820503A,45092.12017,,,,
GRB 820503B,45092.24261,,,,
GRB 820504,45093.67717,,,,
GRB 820506,45095.05444,,,,
GRB 820510,45099.5619,,,,
GRB 820511A,45100.38903,,,,0.0000087
GRB 820511B,45100.60597,,,,0.000015
GRB 820511B,45100.60862,,,,0.000015
GRB 820519,45108.46829,,,,0.00008
GRB 820525,45114.85997,,,,0.00005
GRB 820530A,45119.40946,,,,0.0000169
GRB 820530A,45119.40938,,,,0.0000169
GRB 820530B,45119.53303,,,,
GRB 820708,45158.43018,,,,
GRB 820719,45169.45012,,,,
GRB 820802,45183.59883,,,,0.0002
GRB 820816A,45197.8238,,,,
GRB 820816B,45197.86244,,,,0.0000333
GRB 820816B,45197.86241,,,,0.0000333
GRB 820820,45201.58061,,,,0.00009
GRB 820820,45201.58286,,,,0.00009
GRB 820820,45201.5827,,,,0.00009
GRB 820822,45203.56088,,,,
GRB 820825A,45206.48218,,,,0.000085
GRB 820825A,45206.48169,,,,0.000085
GRB 820825A,45206.48194,,,,0.000085
GRB 820825B,45206.80027,,,,
GRB 820827A,45208.03042,,,,
GRB 820827B,45208.83238,,,,0.00042
GRB 820827B,45208.82792,,,,0.00042
GRB 820828,45209.5762,,,,0.000075
GRB 820828,45209.5761,,,,0.000075
GRB 820828,45209.57611,,,,0.000075
GRB 820829A,45210.05134,,,,
GRB 820829B,45210.15728,,,,
GRB 820829C,45210.82404,,,,
GRB 820829D,45210.96766,,,,
GRB 820906,45218.28461,,,,
GRB 820909,45221.95974,,,,
GRB 820913,45225.21416,,,,
GRB 820914,45226.35576,,,,
GRB 820917,45229.64105,,,,
GRB 820918A,45230.06986,,,,
GRB 820918B,45230.45625,,,,
GRB 820919,45231.92604,,,,
GRB 820921,45233.77625,,,,
GRB 820923A,45235.37165,,,,
GRB 820923B,45235.50643,,,,
GRB 821002,45244.42543,,,,
GRB 821004,45246.43079,,,,
GRB 821007,45249.95105,,,,
GRB 821012,45254.64089,,,,0.00017
GRB 821012,45254.65044,,,,0.00017
GRB 821015,45257.54884,,,,0.00001
GRB 821015,45257.54655,,,,0.00001
GRB 821019,45261.56118,,,,
GRB 821020,45262.54102,,,,
GRB 821023,45265.92228,,,,
GRB 821024,45266.28644,,,,0.000029
GRB 821024,45266.28639,,,,0.000029
GRB 821025A,45267.73328,,,,
GRB 821025B,45267.80917,,,,
GRB 821027,45269.03645,,,,0.00012
GRB 821028A,45270.50474,,,,
GRB 821028B,45270.81508,,,,0.0000162
GRB 821028B,45270.81512,,,,0.0000162
GRB 821031,45273.6397,,,,
GRB 821103,45276.71831,,,,
GRB 821104,45277.14584,,,,0.000179
GRB 821104,45277.14583,,,,0.000179
GRB 821107,45280.31991,,,,
GRB 821111,45284.59073,,,,
GRB 821119,45292.11694,,,,
GRB 821124,45297.59501,,,,
GRB 821125,45298.18924,,,,
GRB 821203,45306.52788,,,,
GRB 821231,45334.17813,,,,
GRB 830108A,45342.32579,,,,
GRB 830108B,45342.3349,,,,0.00001
GRB 830116,45350.359,,,,
GRB 830117,45351.24333,,,,0.00019
GRB 830117,45351.25051,,,,0.00019
GRB 830121,45355.88308,,,,0.0000494
GRB 830121,45355.88302,,,,0.0000494
GRB 830123,45357.2351,,,,
GRB 830126,45360.22622,,,,0.00008
GRB 830126,45360.21959,,,,0.00008
GRB 830127,45361.83568,,,,0.000095
GRB 830127,45361.82965,,,,0.000095
GRB 830210,45375.50671,,,,0.00007
GRB 830210,45375.51432,,,,0.00007
GRB 830210,45375.51425,,,,0.00007
GRB 830215,45380.97838,,,,
GRB 830312,45405.03841,,,,
GRB 830313,45406.93341,,,,0.000121
GRB 830321A,45414.44237,,,,0.00003
GRB 830321B,45414.93989,,,,
GRB 830328,45421.3553,,,,0.0000039
GRB 830331,45424.02355,,,,0.00017
GRB 830405,45429.3331,,,,
GRB 830411,45435.87785,,,,0.000085
GRB 830414A,45438.07583,,,,0.00017
GRB 830414B,45438.08078,,,,0.0000172
GRB 830502,45456.69919,,,,0.0000106
GRB 830518A,45472.35366,,,,0.000085
GRB 830518B,45472.79767,,,,
GRB 830522,45476.95061,,,,0.000036
GRB 830522,45476.94938,,,,0.000036
GRB 830528,45482.78006,,,,0.00005
GRB 830529,45483.76627,,,,0.0000134
GRB 830604,45489.73955,,,,0.000047
GRB 830607,45492.85661,,,,0.0000065
GRB 830608,45493.44804,,,,0.000011
GRB 830610,45495.69119,,,,0.000165
GRB 830621,45506.48656,,,,0.0000063
GRB 830824,45570.09793,,,,0.0000107
GRB 831116,45654.28212,,,,0.00012
GRB 831119,45657.14809,,,,0.00005
