name,ra,dec,time_x,fluence,redshift
GRB 051111,348.13833,18.37475,2005-11-11T05:59:41.478720,0.00000427,1.5495
GRB 051113,187.244,-26.392,2005-11-13T15:22:34.722320,0.00000258,
GRB 051114,226.273,60.157,2005-11-14T04:11:29.441000,0.000000124,
GRB 051117A,228.39204,30.87019,2005-11-17T10:51:20.091280,0.00000436,
GRB 051117B,85.18075,-19.27422,2005-11-17T13:22:54.427080,0.000000175,0.481
GRB 051210,330.17125,-57.61358,2005-12-10T05:46:21.168500,0.000000086,
GRB 051211A,104.05417,32.67889,2005-12-11T02:50:05.4,,
GRB 051211B,345.67321,55.08097,2005-12-11T22:05:44,,
GRB 051213,252.093,-59.231,2005-12-13T07:13:04.106720,0.000000797,
GRB 051221A,328.70267,16.89096,2005-12-21T01:51:15.868000,0.00000116,0.5465
GRB 051221B,312.39729,53.03642,2005-12-21T20:03:20.090560,0.000000912,
GRB 051227,125.24212,31.92553,2005-12-27T18:07:16.047360,0.000000715,0.714
GRB 060102,328.841,-1.836,2006-01-02T21:17:27.963420,0.000000234,
GRB 060105,297.50283,46.34889,2006-01-05T06:49:27.446760,0.0000182,4
GRB 060108,147.00825,31.91906,2006-01-08T14:39:11.760360,0.000000372,2.03
GRB 060109,282.68187,31.99092,2006-01-09T16:54:41.230260,0.000000662,
GRB 060110,72.74104,28.43214,2006-01-10T08:01:17.773060,0.00000151,
GRB 060111A,276.20472,37.60402,2006-01-11T04:23:06.123420,0.0000012,
GRB 060111B,286.42696,70.37586,2006-01-11T20:15:43.242160,0.00000162,
GRB 060114,195.2766,-4.748,2006-01-14T12:39:44,,
GRB 060115,54.035,17.34528,2006-01-15T13:08:00.643040,0.00000171,3.5328
GRB 060116,84.69283,-5.43698,2006-01-16T08:37:27.233480,0.00000239,6.6
GRB 060117,327.90054,-59.97753,2006-01-17T06:50:01.599700,0.0000205,0.45
GRB 060121,137.46638,45.66261,2006-01-21T22:24:54.5,,
GRB 060123,179.69979,45.51378,2006-01-23T22:22:40,,1.099
GRB 060124,77.10625,69.74056,2006-01-24T15:54:51.825540,0.0000142,2.297
GRB 060130,229.224,-36.912,2006-01-30T04:56:25,,
GRB 060202,35.84575,38.38431,2006-02-02T08:40:55.008460,0.00000223,0.783
GRB 060203,103.51604,71.81067,2006-02-03T23:55:35.005260,0.000000912,
GRB 060204A,232.2335,-39.4438,2006-02-04T13:19:50,,
GRB 060204B,211.81208,27.67678,2006-02-04T14:34:24.092080,0.00000293,3.1
GRB 060206,202.9309,35.051,2006-02-06T04:46:53.272980,0.000000843,4.048
GRB 060210,57.73904,27.02622,2006-02-10T04:58:49.809180,0.00000763,3.9133
GRB 060211A,58.38604,21.48861,2006-02-11T09:39:10.990840,0.00000158,
GRB 060211B,75.0715,14.94939,2006-02-11T15:55:14.766340,0.000000442,
GRB 060213,141.6,-9.15,2006-02-13T13:11:09,,3.5
GRB 060218,50.41535,16.86717,2006-02-18T03:34:30.977720,0.00000645,0.0334
GRB 060219,241.83967,32.31611,2006-02-19T22:48:05.118160,0.00000044,
GRB 060223A,55.2065,-17.1301,2006-02-23T06:04:23.927580,0.000000674,4.406
GRB 060223B,254.242,-30.813,2006-02-23T19:41:04.886460,0.0000016,
GRB 060306,41.09533,-2.14853,2006-03-06T00:49:10.626240,0.00000215,
GRB 060312,45.77488,12.83375,2006-03-12T01:36:12.758340,0.00000184,
GRB 060313,66.61833,-10.84447,2006-03-13T00:12:06.484480,0.00000114,1.7
GRB 060319,176.38767,60.01081,2006-03-19T00:55:42.920580,0.000000238,
GRB 060322,274.23596,-36.70869,2006-03-22T23:00:21.120860,0.00000522,
GRB 060323,174.43854,49.98536,2006-03-23T14:32:36.031580,0.000000634,
GRB 060403,282.33996,8.32981,2006-04-03T13:12:17.129580,0.00000136,
GRB 060413,291.28271,13.75836,2006-04-13T18:40:22.869180,0.00000356,
GRB 060418,236.4275,-3.6389,2006-04-18T03:06:08.204500,0.00000838,1.4901
GRB 060421,343.63763,62.731,2006-04-21T00:39:23.334720,0.00000126,
GRB 060424,7.3575,36.79964,2006-04-24T04:16:19.520420,0.00000068,
GRB 060427,124.26721,62.67136,2006-04-27T11:43:10.841740,0.000000503,
GRB 060428A,123.545,-37.16983,2006-04-28T03:22:48.056420,0.0000014,
GRB 060428B,235.35679,62.02508,2006-04-28T08:54:38.839960,0.000000844,
GRB 060429,115.5126,-24.9525,2006-04-29T12:19:50.9,,
GRB 060501,328.37783,43.99861,2006-05-01T08:14:58.865920,0.00000125,
GRB 060502A,240.927,66.60069,2006-05-02T03:03:32.144320,0.00000233,1.5026
GRB 060502B,278.93846,52.63153,2006-05-02T17:24:41.035100,4.92E-08,0.287
GRB 060505,331.76383,-27.81472,2006-05-05T06:35:58.890000,,0.0889
GRB 060507,89.9605,75.24886,2006-05-07T01:53:12.230320,0.00000452,
GRB 060510A,95.86658,-1.16283,2006-05-10T07:43:27.647800,0.00000815,
GRB 060510B,239.1234,78.57028,2006-05-10T08:22:14.815740,0.00000398,4.941
GRB 060512,195.7742,41.1909,2006-05-12T23:13:20.730480,0.00000025,2.1
GRB 060515,127.28892,73.56778,2006-05-15T02:27:52.918180,0.00000144,
GRB 060516,71.171,-18.127,2006-05-16T06:43:34.803820,0.00000103,
GRB 060522,322.93667,2.88621,2006-05-22T02:11:18.792140,0.00000113,5.11
GRB 060526,232.8265,0.2847,2006-05-26T16:28:29.950920,0.00000124,3.2213
GRB 060602,149.56783,0.304,2006-06-02T21:32:12.464320,0.00000161,0.787
GRB 060604,337.2292,-10.9155,2006-06-04T18:19:00.012500,0.000000376,2.1357
GRB 060605,322.1555,-6.0587,2006-06-05T18:15:44.618460,0.00000116,3.773
GRB 060607A,329.71,-22.4965,2006-06-07T05:12:13.351500,0.00000256,3.0749
GRB 060607B,42.041,14.75,2006-06-07T23:32:44.133940,0.00000162,
GRB 060614,320.88367,-53.02672,2006-06-14T12:43:48.504600,0.0000207,0.1257
GRB 060707,357.07917,-17.90472,2006-07-07T21:30:19.497320,0.00000158,3.425
GRB 060708,7.80758,-33.759,2006-07-08T12:15:59.016080,0.000000499,1.92
GRB 060712,184.06775,35.53828,2006-07-12T21:07:43.711080,0.00000142,
GRB 060714,227.8601,-6.5662,2006-07-14T15:12:00.283480,0.00000288,2.7108
GRB 060717,170.84033,28.95108,2006-07-17T09:07:38.901820,6.99E-08,
GRB 060719,18.432,-48.38092,2006-07-19T06:50:36.945900,0.00000152,1.532
GRB 060728,16.639,-41.388,2006-07-28T22:24:30.654180,0.000000223,
GRB 060729,95.38271,-62.37019,2006-07-29T19:12:29.244420,0.00000261,0.5428
GRB 060801,213.00554,16.98183,2006-08-01T12:16:15.158880,8.05E-08,1.131
GRB 060804,112.20567,-27.21575,2006-08-04T07:28:19.825160,0.000000532,
GRB 060805A,220.93113,12.58644,2006-08-05T04:47:49.167340,7.31E-08,2.5
GRB 060805B,272.52258,58.15525,2006-08-05T14:27:15,,1.3
GRB 060807,252.51083,31.59186,2006-08-07T14:41:35.402420,0.000000861,3.4
GRB 060813,111.89733,-29.84706,2006-08-13T22:50:22.685460,0.00000553,2.38
GRB 060814,221.33875,20.58616,2006-08-14T23:02:19.035400,0.0000148,1.9229
GRB 060825,18.12271,55.79747,2006-08-25T02:59:57.702280,0.000000955,2
GRB 060901,287.15762,-6.63525,2006-09-01T18:44:00,,2
GRB 060904A,237.72779,44.98564,2006-09-04T01:03:21.201840,0.00000783,1.84
GRB 060904B,58.21058,-0.72531,2006-09-04T02:31:03.857720,0.00000165,0.7029
GRB 060906,40.7535,30.36164,2006-09-06T08:32:46.573080,0.00000224,3.6856
GRB 060908,31.8265,0.342,2006-09-08T08:57:22.344940,0.00000281,1.8836
GRB 060912A,5.284,20.9716,2006-09-12T13:55:54.144260,0.00000136,0.937
GRB 060912B,271.2167,-19.8804,2006-09-12T17:33:40,,
GRB 060919,276.92417,-51.01447,2006-09-19T07:48:38.674380,0.000000544,
GRB 060923A,254.61729,12.36081,2006-09-23T05:12:15.370360,0.000000882,2.8
GRB 060923B,238.19458,-30.90381,2006-09-23T11:38:06.217800,0.00000049,
GRB 060923C,346.11833,3.92475,2006-09-23T13:33:02.537640,0.00000157,3.5
GRB 060926,263.93192,13.0385,2006-09-26T16:48:41.859180,0.000000232,3.2086
GRB 060927,329.54971,5.36398,2006-09-27T14:07:35.297340,0.00000112,5.4636
