name,ra,dec,time,fluence
GRB 991005,48.38,-72.6,51456.14574,0.00000062
GRB 990705,77.38,-72.15,51364.66765,0.0000694
GRB 990130,19,-71,51208.56044,0.00000337
GRB 991116,267,-71,51498.60492,0.0000386
GRB 010501,286.71,-70.18,52030.27601,0.00000198
GRB 000407,157.98,-70.06,51641.12961,0.00000074
GRB 970221B,342.8,-69.7,50500.42949,0.00000197
GRB 990907,112.7,-69.4,51428.73277,0.00000841
GRB 970402,222.57,-69.32,50540.92958,0.00000723
GRB 991026B,51,-69,51477.54325,0.0000039
GRB 010514,55,-69,52043.69605,0.00000028
GRB 971229,340.29,-68.34,50811.4247,0.00000096
GRB 990322,12.49,-68.32,51259.1694,0.0000029
GRB 990806B,47.65,-68.12,51396.60286,0.00000191
GRB 970326A,359.28,-67.63,50533.34459,0.00000036
GRB 980515,319.52,-67.23,50948.70856,0.00000283
GRB 960916C,285,-67,50342.35499,0.00000107
GRB 010330,35,-67,51998.60304,0.00000059
GRB 990829B,250.6,-66.8,51419.54821,
GRB 991105C,180.75,-66.8,51487.69498,0.00000279
GRB 000214A,283.57,-66.45,51588.04236,0.00001087
GRB 971009B,273.51,-66.24,50730.78953,0.00000124
GRB 000104A,145.17,-66.12,51547.06162,0.00000624
GRB 990814A,154.78,-66.08,51404.3869,0.00000054
GRB 990618B,169.7,-65.5,51347.43579,0.00000221
GRB 971022B,54,-65,50743.81971,0.00000088
GRB 991119,311,-65,51501.60689,0.00000049
GRB 000114,214,-65,51557.37259,0.00000088
GRB 001201A,101,-65,51879.54787,0.00000054
GRB 980129,287.43,-64.92,50842.6387,0.00000228
GRB 961224B,182.84,-64.64,50441.73736,0.00000047
GRB 971022A,11,-64,50743.49813,0.00000898
GRB 010114,158,-64,51923.15546,0.00000285
GRB 010226A,242,-64,51966.80223,0.00000709
GRB 010619A,123,-64,52079.12391,0.0000193
GRB 011001,187,-64,52183.93861,0.00000366
GRB 971013,221.75,-63.87,50734.99802,0.00000107
GRB 990604A,69.81,-63.61,51333.69554,0.00000112
GRB 000502C,171.8,-63.5,51666.62568,0.00000089
GRB 980329B,172.3,-63.2,50901.64221,0.00000089
GRB 970419,240.42,-63.04,50557.25853,0.0000016
GRB 980109,6.48,-63.02,50822.0503,0.00000285
GRB 000420C,313.81,-63.01,51654.75046,
GRB 990315,5.71,-63,51252.69132,0.00000126
GRB 980124B,192.2,-62.7,50837.87337,
GRB 980401C,198.55,-62.39,50904.53222,0.00000359
GRB 981111,173,-62,51128.47883,0.0000392
GRB 000529B,2.28,-61.53,51693.36333,0.00000348
GRB 990618A,214.66,-61.31,51347.16275,0.00000357
GRB 990123B,320.61,-60.81,51201.55535,0.00000028
GRB 980310A,242.41,-60.47,50882.58172,0.00000119
GRB 990713A,186,-60,51372.40834,0.00000152
GRB 010308,37,-60,51976.65205,0.00000355
GRB 000412,201.37,-59.78,51646.48811,0.00000044
GRB 971011,206.08,-59.72,50732.49367,0.00000058
GRB 000620A,276,-59,51715.03795,0.00000167
GRB 010203,118,-59,51943.19266,
GRB 970903,237.75,-58.44,50694.72579,0.00000165
GRB 990504A,248.9,-58.3,51302.47375,0.0000012
GRB 010518A,161.68,-57.78,52047.27997,0.00000186
GRB 001004,240.09,-56.81,51821.61905,0.0000433
GRB 980306C,341.63,-56.74,50878.73207,0.00001766
GRB 991120,51.19,-56.61,51502.24086,0.00000546
GRB 960730,277.94,-56.54,50294.81612,0.00000391
GRB 971005,331.17,-56.25,50726.05273,0.00000055
GRB 980406B,31,-56,50909.71811,0.00000078
GRB 980728,88,-56,51022.36707,0.00001135
GRB 020309,351,-56,52342.29034,0.00001094
GRB 991108,3.64,-54.89,51490.282,0.00000773
GRB 980513,127.62,-54.84,50946.90375,0.00000052
GRB 960703C,330.4,-54.79,50267.75742,0.00000091
GRB 970302A,7.93,-54.54,50509.53904,0.0000042
GRB 980908,183.7,-54.3,51064.02884,0.00000102
GRB 980829A,240,-54.2,51054.2228,0.00000044
GRB 970924,95,-54,50715.11037,0.00000496
GRB 971020,149,-54,50741.16931,0.00000017
GRB 001216,71,-54,51894.59262,0.00000036
GRB 980904B,125.99,-53.71,51060.36285,0.00000036
GRB 970108,1.23,-53.61,50456.71807,0.000002
GRB 961228,160.28,-53.6,50445.02081,0.00001185
GRB 990217,45.51,-53.1,51226.22461,
GRB 990707A,102.7,-53,51366.63427,0.0000059
GRB 971014,284.81,-52.84,50735.22532,0.00000017
GRB 980425B,293.73,-52.82,50928.90912,0.00000304
GRB 971210,176.91,-51.95,50792.32192,0.00000468
GRB 970827B,134.65,-51.64,50687.41382,0.00001125
GRB 971027B,309,-51,50748.36973,0.00000083
GRB 000723,20,-51,51748.44451,0.000001
GRB 010518B,138,-51,52047.35038,0.00000073
GRB 020209,205,-51,52314.32635,0.00000144
GRB 001011C,275.77,-50.9,51828.66306,0.0000185
GRB 971114,57,-50,50766.51463,0.00001401
GRB 010109,323.26,-49.52,51918.10979,0.0000396
GRB 980830,92,-49,51055.61251,0.00000023
GRB 990122,63,-49,51200.34505,0.00000462
GRB 990319,138,-49,51256.52958,0.00000442
GRB 000214B,319,-49,51588.2391,0.00000021
GRB 000830B,141,-49,51786.48551,0.00000271
GRB 001206C,209,-49,51884.8956,0.00000555
GRB 020418,120.08,-48.65,52382.3601,
GRB 990506B,196,-48,51304.81078,0.00000117
GRB 970825A,29.2,-47.8,50685.4703,0.0000032
GRB 980712B,292.6,-47.67,51006.25278,0.00000143
GRB 991030,123,-47.52,51481.07363,0.00000327
GRB 970831,85.75,-47.33,50691.73589,0.0000333
GRB 990328,150.08,-47.17,51265.14188,0.0000031
GRB 990611B,343.2,-47.09,51340.49794,0.00000406
GRB 961125B,326,-47,50412.32483,0.00000447
GRB 000425,315,-47,51659.22605,0.0000034
GRB 970104,107,-46,50452.14324,0.00000031
GRB 981002,199.5,-45.9,51088.06326,0.00000472
GRB 980802A,178.62,-45.54,51027.18813,0.00000026
GRB 980306B,7.05,-45.51,50878.39794,
GRB 970910,316.64,-45.44,50701.05109,0.00000132
GRB 970122,261,-45,50470.48709,0.00000605
GRB 971219A,240,-45,50801.44534,0.00000033
GRB 010121,141,-45,51930.72819,0.00000113
GRB 971212,306.69,-44.95,50794.92891,
GRB 961208B,61.4,-44.9,50425.78973,0.00000054
GRB 981110,168.94,-44.6,51127.95322,0.00000113
GRB 960929,110,-44,50355.27525,0.00000165
GRB 000801,53,-44,51757.0494,0.00000051
GRB 001013,203,-44,51830.75947,0.0000275
GRB 020417,349,-44,52381.23353,0.00001896
GRB 991205C,337.6,-43.7,51517.95672,0.00000559
GRB 990516B,266,-43.06,51314.97519,0.00000086
GRB 971223C,312,-43,50805.44191,0.00001742
GRB 010212C,77,-43,51952.99807,0.00000052
GRB 980223,305.3,-42.6,50867.88706,0.00000089
GRB 970307,349,-42,50514.81188,0.00001103
GRB 001214A,192,-42,51892.24939,0.00000121
GRB 990128,304.9,-41.9,51206.43116,0.0000213
GRB 991002A,292.8,-41.7,51453.17405,0.00000162
GRB 980903,139.91,-41.54,51059.14934,0.00000014
GRB 970923,29,-41,50714.48565,0.00000395
GRB 990720B,189,-41,51379.35406,0.00000731
GRB 000127,273,-41,51570.14747,0.00000027
GRB 000502B,252,-41,51666.55457,0.00000173
GRB 000210,29.81,-40.67,51584.36395,0.000048
GRB 990216B,274.94,-40.34,51225.27111,0.0000121
GRB 970623,279.5,-40.19,50622.22456,
GRB 970326B,94,-40,50533.75228,0.0000007
GRB 020102A,11,-40,52276.87348,0.00000106
GRB 990208B,296.1,-39.4,51217.17551,0.00000168
GRB 000924,48,-39,51811.69487,0.0000023
GRB 001226B,350,-39,51904.84356,0.00000336
GRB 010522,257,-39,52051.86931,0.00000283
