name,ra,dec,time,fluence
GRB110205588,312.69,-55.85,55597.58843,4.21E-06
GRB140506880,276.775,-55.6353,56783.88029,6.59E-06
GRB150425617,214.23,-55.5,57137.61689,8.05E-07
GRB121112806,78.98,-55.44,56243.80607,2.23E-07
GRB161001045,79.15,-55.36,57662.04533,1.76E-06
GRB160516237,310.83,-55.33,57524.23735,0.000001953
GRB101224578,289.14,-55.25,55554.57845,3.89E-06
GRB120510900,186.93,-55.24,56057.9003,6.01E-06
GRB140919636,221.538,-33.1759,56919.63557,0.000010749
GRB111022854,104.5,-33.11,55856.85375,0.000000126
GRB160512199,240.68,-33.09,57520.19861,9.89E-06
GRB160519060,138.12,-33.03,57527.06018,0.000003173
GRB090108322,0.4,-32.9,54839.3218,5.36E-07
GRB090129880,269,-32.8,54860.88004,5.57E-06
GRB160111115,310.24,-32.78,57398.11462,2.63E-06
GRB140901821,15.82,-32.76,56901.82057,0.000005123
GRB111025078,325.62,-35.52,55859.07831,2.98E-06
GRB131216081,91.59,-35.5,56642.08093,6.78E-06
GRB150711766,221.627,-35.456,57214.76597,9.48E-06
GRB101128322,145.47,-35.2,55528.32227,8.36E-07
GRB121225417,310.45,-34.83,56286.41729,0.00006958
GRB160225809,150.19,-34.71,57443.80863,0.000017953
GRB100910818,238.1,-34.62,55449.81787,0.000013408
GRB090427688,356.2,-34.6,54948.68778,1.62E-06
GRB140911012,128.39,-36.56,56911.01189,6.78E-06
GRB120222119,340,-36.41,55979.11938,2.45E-06
GRB090718762,274.12,-36.39,55030.7623,0.00002502
GRB140110263,28.9,-36.26,56667.26294,0.000005426
GRB150726877,264.38,-36.2,57229.87674,6.82E-06
GRB090531775,252.06,-36.05,54982.77496,3.18E-07
GRB100805845,112.72,-35.93,55413.84479,0.000010611
GRB081231140,208.6,-35.8,54831.1396,0.000016119
GRB120919052,298,-38.07,56189.05166,0.000020674
GRB140706815,49.2952,-38.0508,56844.81498,2.49E-06
GRB120612687,39.67,-37.91,56090.68732,7.05E-07
GRB150603105,74.77,-37.87,57176.10541,2.10E-06
GRB110702187,5.62,-37.66,55744.18714,7.99E-06
GRB150201574,11.8325,-37.6193,57054.57425,0.000063139
GRB150201590,11.8325,-37.6193,57054.59023,0.000002383
GRB090608052,100.19,-37.41,54990.05239,1.24E-06
GRB150423285,220.39,-38.84,57135.28522,1.26E-06
GRB090117632,121.6,-38.8,54848.63241,0.000011938
GRB101224998,325.17,-38.66,55554.99832,1.36E-06
GRB110721200,332.456,-38.628,55763.19981,0.000037042
GRB111107076,315.46,-38.53,55872.07623,0.000010405
GRB150712846,20.25,-38.46,57215.84605,2.45E-06
GRB110609425,317.63,-38.16,55721.42507,2.35E-06
GRB101206036,164.08,-38.11,55536.03631,5.84E-06
GRB140721336,175.71,-41.21,56859.33567,0.000055154
GRB140329272,92.35,-41.08,56745.27178,2.38E-07
GRB150817251,31.05,-41,57251.25055,7.28E-06
GRB150222832,294.54,-40.94,57075.83198,0.000003842
GRB150923429,267.81,-40.66,57288.42937,2.61E-07
GRB100907751,177.29,-40.63,55446.75083,7.33E-07
GRB131211510,271.34,-40.61,56637.5103,4.51E-06
GRB160411062,349.357,-40.2423,57489.06172,2.25E-07
GRB150324164,180.81,-42.72,57105.16402,4.85E-06
GRB151210041,293.97,-42.7,57366.04116,3.45E-06
GRB121109338,6.84,-42.57,56240.33816,5.34E-06
GRB080823363,89.8,-42.4,54701.36265,0.000005546
GRB130404840,146.58,-42.16,56386.84032,0.000008355
GRB090610723,275.99,-42.09,54992.72329,3.96E-06
GRB090701225,114.69,-42.07,55013.22495,4.42E-07
GRB090328401,90.9,-42,54918.40054,0.000042022
GRB090510016,333.6,-26.6,54961.01597,3.37E-06
GRB101017619,27.47,-26.55,55486.61909,1.78E-06
GRB160428412,28.19,-26.52,57506.41201,1.78E-07
GRB100325275,330.24,-26.47,55280.27509,0.000003352
GRB150629564,307.65,-26.45,57202.56436,3.69E-07
GRB160218711,33.33,-26.45,57436.71087,1.27E-06
GRB120817168,8.31,-26.428,56156.1684,1.79E-06
GRB090828099,124.38,-26.14,55071.09917,0.000023746
GRB100101028,307.32,-27,55197.02765,1.19E-06
GRB140907429,163.82,-27,56907.42936,1.35E-06
GRB110509475,74.65,-26.98,55690.47518,5.26E-07
GRB140405033,119.1,-26.89,56752.03267,2.60E-06
GRB101117496,57.19,-26.87,55517.49636,8.24E-06
GRB110522633,180.57,-26.81,55703.63329,3.04E-06
GRB100816009,102.12,-26.66,55424.00881,0.000025297
GRB131006367,325.38,-26.63,56571.36691,1.27E-07
GRB160709826,236.11,-28.5,57578.82574,7.74E-07
GRB090621417,257.49,-28.46,55003.41727,3.82E-06
GRB160221993,232.082,-28.4337,57439.99288,1.75E-06
GRB090509215,241.4,-28.4,54960.21534,5.42E-06
GRB101214748,0.69,-28.27,55544.74796,2.37E-07
GRB090418816,262.8,-28.2,54939.81626,1.82E-07
GRB121029350,226.77,-28.2,56229.35023,7.81E-06
GRB100326294,131.24,-28.18,55281.29381,3.82E-07
GRB140511095,329.76,-30.06,56788.09527,3.71E-07
GRB150227702,190.3,-29.93,57080.70243,2.46E-06
GRB111221739,10.16,-29.77,55916.73855,3.06E-06
GRB120703726,339.356,-29.7244,56111.72589,8.33E-06
GRB161117066,322.05,-29.61,57709.06634,0.000031218
GRB100306199,216.04,-29.37,55261.19891,5.68E-07
GRB110703557,155.39,-29.3,55745.55712,9.74E-07
GRB140901262,112.184,-29.209,56901.26207,2.93E-06
GRB120710100,120.39,-31.14,56118.0995,5.34E-06
GRB091122163,120.51,-31.13,55157.16274,1.10E-07
GRB120219563,274.85,-31.11,55976.56346,5.58E-07
GRB101214993,181.13,-31.06,55544.99307,1.09E-06
GRB130715906,287.37,-31.05,56488.90567,0.000041079
GRB091006360,243.11,-31.04,55110.36027,1.14E-07
GRB130701761,325.94,-30.89,56474.76077,4.92E-06
GRB151218857,9.45,-30.73,57374.85662,6.61E-07
GRB150122960,151.23,-32.6,57044.96005,3.17E-06
GRB140701833,285.44,-32.59,56839.83305,0.000002609
GRB151120349,157.25,-32.5237,57346.34923,9.65E-06
GRB140720158,175.03,-32.31,56858.15793,2.00E-07
GRB110505203,16.81,-32.3,55686.20343,2.03E-06
GRB120429484,133.04,-32.23,56046.48407,2.37E-06
GRB120526303,66.28,-32.23,56073.30325,0.00011619
GRB140329295,145.698,-32.229,56745.29489,0.000065924
GRB120506128,172.22,-33.72,56053.1285,2.87E-07
GRB091101143,29.8,-33.68,55136.14343,7.84E-06
GRB141031998,133.08,-33.68,56961.99816,8.35E-08
GRB090626189,170.01,-33.5,55008.18899,0.000063046
GRB150805746,326.08,-33.4,57239.74598,3.82E-07
GRB111109453,133.73,-33.35,55874.45315,3.05E-07
