name,ra,dec
3FGL J0955.6-6148,148.9127,-61.8142
3FGL J1949.4-6140,297.3637,-61.6795
3FGL J1422.4-6137,215.6155,-61.6329
3FGL J0236.7-6136,39.1955,-61.6004
3FGL J1112.0-6135,168.0168,-61.5842
3FGL J1409.7-6132,212.425,-61.5355
3FGL J1119.1-6127,169.7942,-61.4662
3FGL J1630.3-6126,247.5838,-61.4358
3FGL J1405.4-6119,211.3561,-61.3168
3FGL J1105.2-6113,166.3051,-61.2231
3FGL J1050.6-6112,162.6749,-61.2121
3FGL J1329.8-6109,202.4678,-61.162
3FGL J1151.8-6108,177.9549,-61.1438
3FGL J1058.5-6106c,164.6441,-61.1101
3FGL J0507.1-6102,76.7803,-61.05
3FGL J0940.7-6102,145.1877,-61.0466
3FGL J0611.1-6100,92.7946,-61.0064
3FGL J1418.6-6058,214.6651,-60.9706
3FGL J1111.9-6058,167.9784,-60.9689
3FGL J0647.6-6058,101.9078,-60.9668
3FGL J0309.9-6057,47.478,-60.9628
3FGL J1733.8-6056,263.4641,-60.9335
3FGL J0842.0-6055,130.5198,-60.928
3FGL J1135.2-6054,173.818,-60.9134
3FGL J1459.4-6053,224.8658,-60.8996
3FGL J1101.9-6053,165.4811,-60.8961
3FGL J1037.2-6052,159.3191,-60.8748
3FGL J1420.0-6048,215.0075,-60.8147
3FGL J1456.7-6046,224.1955,-60.7768
3FGL J1306.4-6043,196.6146,-60.7317
3FGL J1111.9-6038,167.9935,-60.6411
3FGL J0323.7-6038,50.943,-60.6398
3FGL J1104.9-6036,166.2476,-60.6091
3FGL J1016.5-6034,154.1354,-60.5764
3FGL J1101.3-6032,165.3304,-60.5419
3FGL J1757.7-6030,269.4282,-60.5062
3FGL J0433.7-6028,68.4286,-60.4823
3FGL J1346.6-6027,206.6517,-60.4537
3FGL J1358.5-6025,209.6435,-60.4298
3FGL J1055.8-6025,163.9667,-60.4263
3FGL J0525.6-6013,81.4151,-60.2325
3FGL J0420.4-6013,65.1198,-60.227
3FGL J0444.6-6012,71.1707,-60.215
3FGL J1125.6-6012,171.4027,-60.2093
3FGL J1603.7-6011,240.9314,-60.1953
3FGL J1855.1-6008,283.7798,-60.1419
3FGL J1054.7-6006,163.6969,-60.1107
3FGL J1838.5-6006,279.636,-60.1105
3FGL J1047.3-6005,161.8438,-60.0983
3FGL J2127.5-6001,321.8927,-60.0313
3FGL J1910.7-6000,287.695,-60.0005
3FGL J0251.5-5959,42.8822,-59.9868
3FGL J1441.5-5955c,220.397,-59.9277
3FGL J1033.0-5945,158.2663,-59.7513
3FGL J2249.3-5943,342.348,-59.7226
3FGL J1045.1-5941,161.2765,-59.6916
3FGL J1025.9-5930,156.4755,-59.5127
3FGL J1043.6-5930,160.905,-59.5046
3FGL J1048.2-5928,162.055,-59.4765
3FGL J1040.5-5926c,160.1368,-59.4335
3FGL J1445.7-5925,221.4471,-59.4278
3FGL J2056.3-5925,314.097,-59.4218
3FGL J1256.1-5919,194.0448,-59.3237
3FGL J0529.2-5917,82.3004,-59.2994
3FGL J1514.0-5915e,228.507,-59.256
3FGL J1124.5-5915,171.1276,-59.2538
3FGL J1542.4-5911,235.6223,-59.1982
3FGL J1429.8-5910,217.4679,-59.1757
3FGL J1513.9-5908,228.4818,-59.1358
3FGL J1525.2-5905,231.3172,-59.0873
3FGL J1016.3-5858,154.079,-58.9671
3FGL J1018.9-5856,154.7299,-58.9456
3FGL J1031.4-5855,157.8639,-58.9203
3FGL J0830.3-5855,127.5754,-58.9179
3FGL J1056.7-5853,164.1786,-58.896
3FGL J1043.8-5851,160.9739,-58.8588
3FGL J1509.4-5850,227.3655,-58.8446
3FGL J1617.4-5846,244.3679,-58.7673
3FGL J0143.7-5845,25.9292,-58.7662
3FGL J1404.7-5844,211.191,-58.7395
3FGL J1037.9-5843,159.4884,-58.73
3FGL J1842.3-5841,280.5937,-58.6875
3FGL J1528.3-5836,232.0781,-58.6077
3FGL J1348.5-5833,207.1488,-58.5627
3FGL J0658.3-5832,104.5861,-58.547
3FGL J1048.2-5832,162.0671,-58.5354
3FGL J1125.3-5824,171.3423,-58.4056
3FGL J0214.7-5823,33.6916,-58.3878
3FGL J1028.4-5819,157.1231,-58.3201
